Date,,CMR,XIC,XIU,XBB,XSB,XIN,XEM,XSP,XQQ,XRE,Absolute,Total,Running ROR,34.20%
"Nov 30 2004",,,1.110701,1.111275,0.546563,0.924999,3.898679,,1.416028,,2.366221,,2.37%,,
"Dec 31 2004",,,2.381858,2.383494,1.471490,0.644459,5.058485,,4.140672,,3.593714,,3.59%,,
"Jan 31 2005",,,-0.950683,-0.951022,0.889739,0.630320,1.761110,,0.995901,,3.226456,,3.23%,,
"Feb 28 2005",,,5.091669,5.092200,-0.101544,0.013194,3.160030,,1.114303,,1.221969,,1.22%,,
"Mar 31 2005",,,0.540603,0.541045,0.178365,-0.076180,-3.729130,,-3.396521,,-3.918858,,-3.92%,,
"Apr 30 2005",,,-2.117904,-2.118105,1.171730,1.115456,1.045422,,1.721749,,2.248626,,2.25%,,
"May 31 2005",,,2.976589,2.977019,1.710653,1.220372,0.136257,,3.083553,,4.922334,,4.92%,,
"Jun 30 2005",,,3.629658,3.629733,1.464841,1.079884,-1.281211,,-2.281740,,1.666091,,1.67%,,
"Jul 31 2005",,,5.430513,5.429910,-0.369876,-0.512749,3.249207,,3.785975,,5.889686,,5.89%,,
"Aug 31 2005",,,2.754292,2.754200,1.253826,0.838577,-0.668341,,-4.012820,,0.186988,,0.19%,,
"Sep 30 2005",,,3.457925,3.459586,-0.847787,-0.831863,1.729251,,-1.538508,,3.272449,,3.27%,,
"Oct 31 2005",,,-5.500668,-5.502674,-1.035127,-0.852776,-0.697874,,-0.090128,,-7.629105,,-7.63%,,
"Nov 30 2005",,,5.202596,4.512738,0.892195,0.289663,2.256145,,4.843723,,7.799838,,7.80%,,
"Dec 31 2005",,,4.269915,4.077412,0.734393,0.113626,4.886328,,-0.321159,,4.037909,,4.04%,,
"Jan 31 2006",,,5.992402,6.008038,-0.677556,0.144967,3.104753,,2.325567,,4.309848,,4.31%,,
"Feb 28 2006",,,-2.012275,-1.886747,0.510175,0.139310,0.398945,,0.443502,,1.315715,,1.32%,,
"Mar 31 2006",,,3.908972,3.729445,-0.324714,0.129585,4.510916,,1.399163,,0.456435,,0.46%,,
"Apr 30 2006",,,0.869793,0.452705,-0.962721,-0.049864,0.616541,,1.162996,,-3.482680,,-3.48%,,
"May 31 2006",,,-3.566060,-3.927611,0.355519,0.248584,-5.639762,,-3.085972,,0.292351,,0.29%,,
"Jun 30 2006",,,-0.840384,-0.352868,-0.479241,-0.170077,1.128408,,0.243233,,1.578603,,1.58%,,
"Jul 31 2006",,,1.998953,2.212982,1.995471,1.103775,0.645131,,0.288035,,3.340823,,3.34%,,
"Aug 31 2006",,,2.232834,2.339659,1.700838,0.874223,2.695475,,2.044280,,2.793873,,2.79%,,
"Sep 30 2006",,,-2.319338,-1.116076,1.024525,0.564610,1.566833,,2.508242,,4.803246,,4.80%,,
"Oct 31 2006",,,5.054133,4.546244,0.335509,0.215488,2.586658,,3.124845,,2.066819,,2.07%,,
"Nov 30 2006",,,3.480963,4.263559,1.069602,0.664129,0.215584,,1.892422,,3.304440,,3.30%,,
"Dec 31 2006",,,1.473168,1.633078,-0.760353,-0.123195,4.139703,,1.240791,,0.987610,,0.99%,,
"Jan 31 2007",,,1.129252,0.768791,-0.155763,0.111306,2.649679,,1.358923,,4.246489,,4.25%,,
"Feb 28 2007",,,0.238559,-0.375752,1.254548,0.688528,-1.344940,,-1.974751,,5.501754,,5.50%,,
"Mar 31 2007",,,1.148897,1.370690,-0.278001,0.162940,2.333160,,1.011394,,-4.710979,,-4.71%,,
"Apr 30 2007",,,2.042788,1.814924,-0.061248,-0.002392,2.252897,,4.021496,,2.353493,,2.35%,,
"May 31 2007",,,4.944415,5.267998,-1.444854,-0.738998,3.664090,,3.152995,,0.061209,,0.06%,,
"Jun 30 2007",,,-0.829249,-0.381134,-0.277844,0.280989,-0.662215,,-1.710872,,-4.313502,,-4.31%,,
"Jul 31 2007",,,-0.144580,0.065061,0.058960,0.212022,-4.062791,,-3.262234,,-4.087212,,-4.09%,,
