Date,Open,High,Low,Close,Adj Close,Volume
2002-04-15,18.395061,18.415638,18.137859,18.137859,14.371861,24883
2002-04-16,18.364199,18.569960,18.364199,18.518518,14.673486,45587
2002-04-17,18.518518,18.518518,18.312757,18.415638,14.591964,35284
2002-04-18,18.312757,18.467077,18.106997,18.312757,14.510446,46850
2002-04-19,18.364199,18.467077,18.312757,18.364199,14.551210,38783
2002-04-22,18.312757,18.312757,18.004114,18.055555,14.306645,34603
2002-04-23,18.106997,18.158436,17.901236,18.004114,14.265888,19926
2002-04-24,18.004114,18.055555,17.798353,17.798353,14.102849,45004
2002-04-25,17.644033,17.746914,17.592592,17.746914,14.062092,30326
2002-04-26,17.798353,17.798353,17.397120,17.438272,13.817533,37616
2002-04-29,17.397120,17.541151,17.232510,17.232510,13.654490,40144
2002-04-30,17.386831,17.592592,17.335390,17.489712,13.858294,30424
2002-05-01,17.489712,17.644033,17.232510,17.541151,13.899052,32951
2002-05-02,17.602880,17.695473,17.489712,17.582306,13.931657,11664
2002-05-03,17.541151,17.541151,17.335390,17.479424,13.850140,19148
2002-05-06,17.438272,17.541151,17.088476,17.129629,13.572973,21676
2002-05-07,17.129629,17.232510,17.078190,17.078190,13.532212,37033
2002-05-08,17.335390,17.746914,17.335390,17.695473,14.021332,50350
2002-05-09,17.644033,17.695473,17.438272,17.489712,13.858294,37228
2002-05-10,17.438272,17.438272,17.078190,17.078190,13.532212,55307
2002-05-13,17.078190,17.335390,17.078190,17.335390,13.736012,28382
2002-05-14,17.644033,17.798353,17.582306,17.746914,14.062092,61236
2002-05-15,17.695473,17.746914,17.592592,17.644033,13.980573,28674
2002-05-16,17.644033,17.746914,17.541151,17.746914,14.062092,79510
2002-05-17,17.746914,17.746914,17.541151,17.746914,14.062092,47142
2002-05-20,null,null,null,null,null,null
2002-05-21,17.489712,17.592592,17.181070,17.181070,13.613734,28285
2002-05-22,17.232510,17.283951,17.129629,17.283951,13.695252,22648
2002-05-23,17.438272,17.438272,17.181070,17.438272,13.817533,34603
2002-05-24,17.479424,17.479424,17.232510,17.283951,13.695252,24300
2002-05-27,17.335390,17.335390,17.232510,17.335390,13.736012,9040
2002-05-28,17.283951,17.283951,16.975309,17.129629,13.572973,22356
2002-05-29,17.026749,17.129629,17.026749,17.078190,13.532212,11858
2002-05-30,16.923868,17.026749,16.769547,16.975309,13.450697,26147
2002-05-31,16.975309,17.181070,16.923868,16.923868,13.409936,47239
2002-06-03,16.923868,17.078190,16.409466,16.409466,13.002340,51516
2002-06-04,16.460905,16.615227,16.358025,16.512346,13.083858,85244
2002-06-05,16.666668,16.718107,16.512346,16.666668,13.206138,52780
2002-06-06,16.718107,16.718107,16.306583,16.306583,12.920817,17302
2002-06-07,16.100822,16.409466,16.049383,16.316872,12.928970,78538
