Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,28.885511,29.037487,28.875380,28.885511,28.159264,470700
2021-01-12,28.946302,28.996960,28.824720,28.946302,28.218525,394504
2021-01-13,29.017223,29.017223,28.834852,28.905775,28.179016,298173
2021-01-14,28.966564,29.047619,28.915907,28.915907,28.188894,346437
2021-01-15,28.905775,28.946302,28.713272,28.844984,28.119755,250106
2021-01-18,28.814590,28.956434,28.814590,28.926039,28.198771,122191
2021-01-19,29.007092,29.027355,28.865248,28.936171,28.208649,320084
2021-01-20,29.037487,29.047619,28.865248,29.027355,28.297539,674516
2021-01-21,29.047619,29.047619,28.804459,28.875380,28.149384,315840
2021-01-22,28.713272,28.804459,28.672747,28.763931,28.040739,231649
2021-01-25,28.763931,28.915907,28.601824,28.875380,28.149384,265799
2021-01-26,28.936171,28.936171,28.672747,28.682877,27.961723,292349
2021-01-27,28.500507,28.510637,28.085106,28.115501,27.408613,379304
2021-01-28,28.338400,28.571428,28.257345,28.470112,27.754307,295310
2021-01-29,28.378925,28.470112,27.902737,28.014185,27.309843,549167
2021-02-01,28.338400,28.591692,28.226950,28.561296,27.843197,208356
2021-02-02,28.652481,28.875380,28.652481,28.855118,28.129633,199769
2021-02-03,28.885511,28.926039,28.763931,28.915907,28.188894,181411
2021-02-04,28.996960,29.169201,28.936171,29.118542,28.386435,161967
2021-02-05,29.260386,29.300913,29.169201,29.270517,28.534588,150616
2021-02-08,29.432625,29.584600,29.432625,29.584600,28.840775,213488
2021-02-09,29.635258,29.736574,29.584600,29.696049,28.949421,410099
2021-02-10,29.837893,29.898684,29.533941,29.777102,29.028435,204704
2021-02-11,29.837893,29.848024,29.584600,29.685917,28.939545,159598
2021-02-12,29.685917,29.807497,29.625128,29.797365,29.048187,199670
2021-02-16,29.898684,30.000000,29.797365,29.858156,29.107452,371803
2021-02-17,29.614994,29.706181,29.483282,29.675785,28.929667,387299
2021-02-18,29.655521,29.665653,29.412361,29.503546,28.761757,204506
2021-02-19,29.594732,29.706181,29.513678,29.696049,28.949421,186839
2021-02-22,29.635258,29.837893,29.635258,29.756840,29.008682,319196
2021-02-23,29.554205,29.685917,29.148935,29.604862,28.860527,400229
2021-02-24,29.635258,29.979736,29.473150,29.858156,29.107452,514523
2021-02-25,29.848024,29.949341,29.331306,29.432625,28.692619,548575
2021-02-26,29.412361,29.463018,28.986830,29.138803,28.406187,715970
2021-03-01,29.533941,29.675785,29.483282,29.594732,28.850651,562491
2021-03-02,29.655521,29.848024,29.574469,29.756840,29.008682,540679
2021-03-03,29.787233,29.797365,29.513678,29.604862,28.860527,563281
2021-03-04,29.554205,29.685917,29.037487,29.311045,28.574097,1010787
2021-03-05,29.523809,29.777102,29.108410,29.726444,28.979053,966569
2021-03-08,29.777102,30.081055,29.665653,29.837893,29.087696,758510
2021-03-09,30.050659,30.253292,30.020264,30.060789,29.304991,662968
