Date,Open,High,Low,Close,Adj Close,Volume
2006-09-08,20.396341,20.406504,20.396341,20.406504,11.129689,394
2006-09-11,20.335365,20.396341,20.335365,20.386179,11.118608,4526
2006-09-12,20.335365,20.467480,20.335365,20.467480,11.162944,590
2006-09-13,20.518293,20.528456,20.497967,20.528456,11.196199,1968
2006-09-14,20.528456,20.528456,20.528456,20.528456,11.196199,0
2006-09-15,20.589432,20.599592,20.579268,20.579268,11.223913,2558
2006-09-18,20.528456,20.640244,20.528456,20.599592,11.235003,2362
2006-09-19,20.619919,20.619919,20.619919,20.619919,11.246092,1870
2006-09-20,20.630081,20.630081,20.619919,20.619919,11.246092,1968
2006-09-21,20.558943,20.599592,20.558943,20.599592,11.235003,2558
2006-09-22,20.518293,20.518293,20.386179,20.386179,11.118608,787
2006-09-25,20.386179,20.386179,20.386179,20.386179,11.118608,0
2006-09-26,20.335365,20.355692,20.315041,20.315041,11.079805,79310
2006-09-27,20.274389,20.274389,20.243902,20.243902,11.041000,39360
2006-09-28,20.365854,20.426828,20.365854,20.426828,11.140772,394
2006-09-29,20.406504,20.406504,20.406504,20.406504,11.129689,4920
2006-10-02,20.386179,20.386179,20.335365,20.335365,11.090891,2558
2006-10-03,20.325203,20.345528,20.325203,20.345528,11.096434,984
2006-10-04,20.284554,20.284554,20.193089,20.284554,11.063178,10824
2006-10-05,20.426828,20.487804,20.426828,20.477642,11.168491,13973
2006-10-06,20.406504,20.406504,20.365854,20.365854,11.107516,689
2006-10-10,20.436993,20.436993,20.386179,20.386179,11.118608,787
2006-10-11,20.426828,20.426828,20.406504,20.406504,11.129689,1476
2006-10-12,20.416668,20.416668,20.386179,20.386179,11.118608,787
2006-10-13,20.447153,20.579268,20.447153,20.579268,11.223913,2952
2006-10-16,20.640244,20.680895,20.630081,20.680895,11.279338,6298
2006-10-17,20.833332,20.833332,20.711382,20.731707,11.307055,3838
2006-10-18,20.731707,20.731707,20.701220,20.721544,11.301511,5609
2006-10-19,20.762196,20.772358,20.762196,20.772358,11.329221,886
2006-10-20,20.813007,20.833332,20.782520,20.833332,11.362478,10037
2006-10-23,20.833332,20.843496,20.833332,20.833332,11.362478,5314
2006-10-24,20.873983,20.884146,20.873983,20.884146,11.390193,7675
2006-10-25,20.945122,21.026423,20.945122,21.026423,11.467787,14170
2006-10-26,21.107723,21.148375,21.087399,21.128050,11.523220,12398
2006-10-27,21.077236,21.077236,21.006098,21.006098,11.456704,8364
2006-10-30,20.975611,20.975611,20.934959,20.975611,11.440080,5314
2006-10-31,21.046747,21.067074,21.046747,21.067074,11.489966,2460
